date,total_value,cash,qqq_val,tqqq_val,qqq_qty,tqqq_qty
2016-03-01,96401.53223549656,798.9822354965581,0.0,95602.55,0,49535
2016-03-02,96896.88223549655,798.9822354965581,0.0,96097.9,0,49535
2016-03-03,96401.53223549656,798.9822354965581,0.0,95602.55,0,49535
2016-03-04,96401.53223549656,798.9822354965581,0.0,95602.55,0,49535
2016-03-07,94420.13223549655,798.9822354965581,0.0,93621.15,0,49535
2016-03-08,91943.38223549657,798.9822354965581,0.0,91144.40000000001,0,49535
2016-03-09,93924.78223549655,798.9822354965581,0.0,93125.79999999999,0,49535
2016-03-10,93429.43223549657,798.9822354965581,0.0,92630.45000000001,0,49535
2016-03-11,98285.37268148406,98285.37268148406,0.0,0.0,0,0
2016-03-14,98285.37268148406,98285.37268148406,0.0,0.0,0,0
2016-03-15,98285.37268148406,98285.37268148406,0.0,0.0,0,0
2016-03-16,98285.37268148406,98285.37268148406,0.0,0.0,0,0
2016-03-17,98285.37268148406,98285.37268148406,0.0,0.0,0,0
2016-03-18,98285.37268148406,98285.37268148406,0.0,0.0,0,0
2016-03-21,98285.37268148406,98285.37268148406,0.0,0.0,0,0
2016-03-22,98196.90244945408,9748.782449454076,44221.08,44227.04,409,21263
2016-03-23,96682.74324469408,96682.74324469408,0.0,0.0,0,0
2016-03-24,96682.74324469408,96682.74324469408,0.0,0.0,0,0
2016-03-28,96682.74324469408,96682.74324469408,0.0,0.0,0,0
2016-03-29,96595.79170224158,9665.981702241588,43423.17,43506.64,399,20522
2016-03-30,97422.92170224158,9665.981702241588,43634.64,44122.299999999996,399,20522
2016-03-31,96948.64170224158,9665.981702241588,43570.8,43711.86,399,20522
2016-04-01,99053.24170224159,9665.981702241588,44033.64,45353.62,399,20522
2016-04-04,98064.78170224158,9665.981702241588,43866.06,44532.74,399,20522
2016-04-05,96615.74170224159,9665.981702241588,43443.119999999995,43506.64,399,20522
2016-04-06,99382.1517022416,9665.981702241588,44157.33,45558.840000000004,399,20522
2016-04-07,96900.76170224158,9665.981702241588,43522.92,43711.86,399,20522
2016-04-08,96663.6217022416,9665.981702241588,43491.0,43506.64,399,20522
2016-04-11,96093.58170224159,9665.981702241588,43331.399999999994,43096.200000000004,399,20522
2016-04-12,97482.77170224159,9665.981702241588,43694.490000000005,44122.299999999996,399,20522
2016-04-13,99683.13170224158,9665.981702241588,44253.09,45764.06,399,20522
2016-04-14,99687.1217022416,9665.981702241588,44257.08,45764.06,399,20522
2016-04-15,99370.18170224159,9665.981702241588,44145.36,45558.840000000004,399,20522
2016-04-18,100221.2517022416,9665.981702241588,44380.770000000004,46174.5,399,20522
2016-04-19,99129.05170224159,9665.981702241588,44109.45,45353.62,399,20522
2016-04-20,99370.18170224159,9665.981702241588,44145.36,45558.840000000004,399,20522
2016-04-21,99374.1717022416,9665.981702241588,44149.350000000006,45558.840000000004,399,20522
2016-04-22,96655.64170224158,9665.981702241588,43483.020000000004,43506.64,399,20522
2016-04-25,96450.42170224158,9665.981702241588,43483.020000000004,43301.42,399,20522
2016-04-26,95828.51170224158,9665.981702241588,43271.55,42890.979999999996,399,20522
2016-04-27,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-04-28,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-04-29,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-02,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-03,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-04,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-05,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-06,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-09,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-10,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-11,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-12,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-13,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-16,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-17,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-18,94370.51359956659,94370.51359956659,0.0,0.0,0,0
2016-05-19,94370.51359956659,94370.51359956659,0.0,0.0,0,0
